"","elapsed"
NA,NA
2,2.00000000018008
3,2.99999999992906
4,1.99999999995271
5,1.99999999995271
6,2.00000000018008
7,3.99999999990541
8,7.00000000006185
9,8.0000000000382
10,17.9999999998017
11,16.0000000000764
12,24.0000000001146
13,35.9999999998308
14,54.0000000000873
15,95.0000000000273
16,159.999999999854
17,362.00000000008
18,736.000000000104
19,1335.00000000004
20,2542.99999999989
21,5371.00000000009
22,10597
23,21692
24,45175
25,93969.0000000001
