2, 0, 0
2, 0, 0
2, 0, 0
2, 0, 0
2, 0, 0
3, 0, 0
3, 0, 0
3, 0, 0
3, 0, 0
3, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
4, 0, 0
5, 0, 0
5, 0, 0
5, 0, 0
5, 0, 0
5, 0, 0
6, 0, 0
6, 0, 0
6, 0, 0
6, 0, 0
6, 0, 0
7, 0, 0
7, 0, 0
7, 0, 0
7, 0, 0
7, 0, 0
8, 1, 0
8, 1, 0
8, 1, 0
8, 1, 0
8, 1, 0
9, 2, 0
9, 2, 0
9, 2, 0
9, 2, 0
9, 2, 0
10, 9, 0
10, 7, 0
10, 8, 0
10, 8, 0
10, 8, 0
11, 12, 0
11, 11, 0
11, 12, 0
11, 12, 0
11, 12, 0
12, 16, 0
12, 9, 0
12, 14, 0
12, 15, 0
12, 9, 0
13, 21, 0
13, 21, 0
13, 14, 0
13, 14, 0
13, 14, 0
14, 30, 0
14, 21, 0
14, 21, 0
14, 21, 0
14, 21, 0
15, 32, 0
15, 32, 0
15, 31, 0
15, 33, 0
15, 31, 0
16, 47, 0
16, 46, 0
16, 46, 0
16, 46, 0
16, 46, 0
17, 65, 0
17, 85, 0
17, 81, 0
17, 81, 0
17, 80, 0
18, 106, 1
18, 105, 1
18, 104, 1
18, 106, 1
18, 102, 1
19, 139, 4
19, 137, 5
19, 138, 5
19, 135, 5
19, 137, 5
20, 176, 10
20, 175, 11
20, 177, 11
20, 179, 10
20, 178, 10
21, 234, 24
21, 235, 24
21, 236, 24
21, 236, 24
21, 237, 24
22, 332, 59
22, 329, 57
22, 330, 58
22, 329, 53
22, 327, 54
23, 467, 117
23, 464, 117
23, 468, 118
23, 464, 117
23, 464, 117
24, 692, 247
24, 714, 249
24, 689, 247
24, 691, 249
24, 690, 248
25, 1088, 528
25, 1085, 525
25, 1084, 524
25, 1084, 524
25, 1084, 525
26, 1806, 1103
26, 1921, 1175
26, 1807, 1103
26, 1806, 1104
26, 1807, 1105
27, 3233, 2359
27, 3195, 2325
27, 3190, 2319
27, 3190, 2321
27, 3189, 2320
28, 5886, 4812
28, 6189, 5113
28, 6072, 4999
28, 5957, 4814
28, 5985, 4912
29, 11798, 10478
29, 11911, 10592
29, 11677, 10356
29, 11701, 10382
29, 11907, 10509
30, 23637, 22034
30, 23347, 21745
30, 23350, 21690
30, 23821, 22093
30, 23690, 22070
